,INVOICE_NO,CUSTOMER_ID,GENDER,AGE,CATEGORY,QUANTITY,PRICE,PAYMENT_METHOD,INVOICE_DATE,SHOPPING_MALL
0,I219572,C339158,Male,49,Clothing,1,300.08,Credit Card,2021-02-20,Kanyon
1,I220303,C139204,Female,25,Clothing,3,900.24,Cash,2021-02-20,Metropol AVM
2,I910731,C905221,Male,62,Food & Beverage,1,5.23,Cash,2021-02-20,Metrocity
3,I143773,C268641,Male,55,Food & Beverage,1,5.23,Credit Card,2021-02-20,Kanyon
4,I295248,C803284,Female,69,Clothing,4,1200.32,Cash,2021-02-20,Mall of Istanbul
5,I324055,C235038,Female,20,Clothing,4,1200.32,Credit Card,2021-02-20,Metrocity
6,I249401,C334455,Female,36,Technology,4,4200.0,Credit Card,2021-02-20,Kanyon
7,I240866,C111869,Female,65,Cosmetics,5,203.3,Cash,2021-02-20,Metrocity
8,I232626,C176854,Male,45,Cosmetics,3,121.98,Credit Card,2021-02-20,Emaar Square Mall
9,I190521,C991243,Male,53,Toys,1,35.84,Credit Card,2021-02-20,Forum Istanbul
10,I555547,C131807,Female,29,Clothing,5,1500.4,Cash,2021-02-20,Metrocity
11,I166746,C311925,Female,37,Clothing,1,300.08,Cash,2021-02-20,Kanyon
12,I633837,C264003,Female,43,Toys,4,143.36,Cash,2021-02-20,Kanyon
13,I233307,C968067,Female,69,Books,3,45.45,Cash,2021-02-20,Mall of Istanbul
14,I247890,C248378,Male,28,Shoes,5,3000.85,Cash,2021-02-20,Mall of Istanbul
15,I475681,C163688,Female,41,Food & Beverage,3,15.69,Debit Card,2021-02-20,Mall of Istanbul
16,I157125,C110338,Female,45,Clothing,1,300.08,Debit Card,2021-02-20,Cevahir AVM
17,I386987,C225128,Male,50,Toys,2,71.68,Credit Card,2021-02-20,Zorlu Center
18,I872772,C163556,Female,30,Cosmetics,5,203.3,Credit Card,2021-02-20,Kanyon
19,I130843,C179629,Female,50,Souvenir,2,23.46,Credit Card,2021-02-20,Metropol AVM
20,I210263,C258486,Female,19,Cosmetics,4,162.64,Cash,2021-02-20,Mall of Istanbul
21,I176351,C224260,Female,67,Clothing,2,600.16,Cash,2021-02-20,Cevahir AVM
22,I209489,C814240,Female,32,Clothing,5,1500.4,Cash,2021-02-20,Kanyon
23,I647398,C244227,Male,26,Souvenir,4,46.92,Credit Card,2021-02-20,Cevahir AVM
24,I295836,C146173,Female,19,Souvenir,4,46.92,Credit Card,2021-02-20,Kanyon
25,I254444,C121264,Female,62,Books,4,60.6,Credit Card,2021-02-20,Metropol AVM
26,I301381,C258887,Male,54,Food & Beverage,1,5.23,Credit Card,2021-02-20,Mall of Istanbul
27,I372065,C325588,Male,43,Clothing,3,900.24,Cash,2021-02-20,Metrocity
28,I169747,C139182,Female,57,Clothing,2,600.16,Credit Card,2021-02-20,Cevahir AVM
29,I202171,C125624,Male,40,Clothing,1,300.08,Debit Card,2021-02-20,Mall of Istanbul
30,I290324,C120303,Female,38,Cosmetics,4,162.64,Cash,2021-02-20,Mall of Istanbul
31,I249076,C301770,Female,68,Books,4,60.6,Credit Card,2021-02-20,Metrocity
32,I576735,C913910,Female,39,Cosmetics,4,162.64,Credit Card,2021-02-20,Kanyon
33,I170202,C493242,Female,32,Shoes,5,3000.85,Credit Card,2021-02-20,Mall of Istanbul
34,I989967,C265121,Male,35,Souvenir,2,23.46,Credit Card,2021-02-20,Kanyon
35,I112828,C197206,Female,21,Toys,2,71.68,Debit Card,2021-02-20,Cevahir AVM
36,I425982,C403105,Female,40,Toys,1,35.84,Credit Card,2021-02-20,Metropol AVM
37,I500621,C189942,Female,23,Books,4,60.6,Cash,2021-02-20,Istinye Park
38,I175168,C161151,Female,69,Books,2,30.3,Debit Card,2021-02-20,Istinye Park
39,I827579,C238642,Male,35,Shoes,2,1200.34,Cash,2021-02-20,Cevahir AVM
40,I169959,C664602,Male,31,Cosmetics,1,40.66,Credit Card,2021-02-20,Mall of Istanbul
41,I533014,C264321,Female,26,Shoes,1,600.17,Debit Card,2021-02-20,Istinye Park
42,I283144,C260130,Female,65,Books,1,15.15,Debit Card,2021-02-20,Mall of Istanbul
